"meta:instanceID","NAME","PURPOSE","LOCATION:Latitude","LOCATION:Longitude","LOCATION:Altitude","LOCATION:Accuracy","PHOTO","rooms","NUMBER","PEOPLE"
"uuid:90579b20-51a3-4550-a32c-20acb6c8e970","COLLEGE OF ENGINEERING, DESIGN AND TECHNOLOGY.","CONDUCTING LECTURES AND PRACTICALS.","0.3363154","32.5649433","0.0","25.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A90579b20-51a3-4550-a32c-20acb6c8e970%5D%2FPHOTO","40","5","3000"
"uuid:90338325-ec37-451d-87f1-49ec405e0c18","BISTRO RESTAURANT","HAVING MEALS","0.3350754","32.5662028","0.0","1351.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A90338325-ec37-451d-87f1-49ec405e0c18%5D%2FPHOTO","2","1","100"
"uuid:bc88ee47-df41-44d6-ae78-9416cb09a783","COBAMS","EDUCATION","0.335625","32.5660033","0.0","28.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abc88ee47-df41-44d6-ae78-9416cb09a783%5D%2FPHOTO","100","4","2000"
"uuid:f2f43a22-d771-4b6c-9af1-23db799416dd","COLLEGE OF NATURAL SCIENCES","EDUCATION","0.3350816","32.5667316","0.0","35.013","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af2f43a22-d771-4b6c-9af1-23db799416dd%5D%2FPHOTO","50","3","2000"
"uuid:cf8c150a-5c5a-4c74-b100-ec117b0154f4","EASILIS","EDUCATION","0.3347886","32.5669703","0.0","24.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acf8c150a-5c5a-4c74-b100-ec117b0154f4%5D%2FPHOTO","10","3","2000"
"uuid:9532048a-b64c-41a4-b441-7ac5d58fde86","MAIN BUILDING","ADMINISTRATION","0.333502","32.5676952","0.0","24.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A9532048a-b64c-41a4-b441-7ac5d58fde86%5D%2FPHOTO","300","6","3000"
"uuid:1c514eee-08e7-4db7-9a3c-c9cf452e8f06","SENATE","OFFICE OF THE REGISTRAR","0.3323331","32.5698607","0.0","34.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1c514eee-08e7-4db7-9a3c-c9cf452e8f06%5D%2FPHOTO","250","6","5000"
"uuid:47739083-8949-491c-a6d5-9a8ae560cf0c","COMPLEX HALL","ACCOMODATE GIRLS","0.3295321","32.5700979","0.0","27.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A47739083-8949-491c-a6d5-9a8ae560cf0c%5D%2FPHOTO","300","3","1000"
"uuid:a87bebea-0857-4c36-a8a6-06a05ecde2b2","MOSQUE","PRAYERS","0.3314255","32.5715196","0.0","40.5","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa87bebea-0857-4c36-a8a6-06a05ecde2b2%5D%2FPHOTO","2","1","200"
"uuid:2237d2b9-3570-4c21-b109-61376116f9b9","COLLEGE OF COMPUTING AND INFORMATION TECHNOLOGY. BLOCK A","EDUCATION AND INNOVATIVENESS","0.3314614","32.5704582","0.0","41.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2237d2b9-3570-4c21-b109-61376116f9b9%5D%2FPHOTO","35","6","2000"
"uuid:293839d2-891f-4625-9f60-6a27bb2cb42f","COLLEGE OF COMPUTING AND INFORMATION TECHNOLOGY BLOCK B","EDUCATION AND INNOVATIVENESS","0.3317079","32.5703998","0.0","44.123","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A293839d2-891f-4625-9f60-6a27bb2cb42f%5D%2FPHOTO","35","6","5000"
"uuid:44adb0ec-d96b-4795-b424-5387c8f5048a","UNIVERSITY BOOKSHOP","SELLING AND LENDING BOOKS","0.3314613","32.5705661","0.0","25.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A44adb0ec-d96b-4795-b424-5387c8f5048a%5D%2FPHOTO","1","1","20"
"uuid:ad009ab3-5113-4d29-bfa3-93567f70678b","MITCHELL HALL","ACCOMODATE MALE STUDENTS","0.3314617","32.5705662","0.0","25.0","https://research-methodology32.appspot.com/view/binaryData?blobKey=build_BUILDINGS-IN-MAKERERE-UNIVERSITY_1495353257%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aad009ab3-5113-4d29-bfa3-93567f70678b%5D%2FPHOTO","800","4","1500"
